Value,Name-et-EE,Name-en-GB,Name-ru-RU,Label-et-EE,Label-en-GB,Label-ru-RU,Parent,Level,Description-et-EE,Description-en-GB,Description-ru-RU,IsGenerated,IsValid,ValidFrom,ValidTo
2004,,,,Igrise küla,Igrise village,Деревня Игризе,0732,3,"Võru maakond, Setomaa vald, Igrise küla","Võru county, Setomaa rural municipality, Igrise village","Выруский уезд, волость Сетомаа, деревня Игризе",,1,,
2144,,,,Jaanimäe küla,Jaanimäe village,Деревня Яанимяэ,0732,3,"Võru maakond, Setomaa vald, Jaanimäe küla","Võru county, Setomaa rural municipality, Jaanimäe village","Выруский уезд, волость Сетомаа, деревня Яанимяэ",,1,,
2222,,,,Juusa küla,Juusa village,Деревня Юуза,0732,3,"Võru maakond, Setomaa vald, Juusa küla","Võru county, Setomaa rural municipality, Juusa village","Выруский уезд, волость Сетомаа, деревня Юуза",,1,,
2276,,,,Jõksi küla,Jõksi village,Деревня Йыкси,0732,3,"Võru maakond, Setomaa vald, Jõksi küla","Võru county, Setomaa rural municipality, Jõksi village","Выруский уезд, волость Сетомаа, деревня Йыкси",,1,,
2363,,,,Järvepää küla,Järvepää village,Деревня Ярвепяэ,0732,3,"Võru maakond, Setomaa vald, Järvepää küla","Võru county, Setomaa rural municipality, Järvepää village","Выруский уезд, волость Сетомаа, деревня Ярвепяэ",,1,,
2512,,,,Kahkva küla,Kahkva village,Деревня Кахква,0732,3,"Võru maakond, Setomaa vald, Kahkva küla","Võru county, Setomaa rural municipality, Kahkva village","Выруский уезд, волость Сетомаа, деревня Кахква",,1,,
2566,,,,Kalatsova küla,Kalatsova village,Деревня Калатсова,0732,3,"Võru maakond, Setomaa vald, Kalatsova küla","Võru county, Setomaa rural municipality, Kalatsova village","Выруский уезд, волость Сетомаа, деревня Калатсова",,1,,
2666,,,,Kangavitsa küla,Kangavitsa village,Деревня Кангавитса,0732,3,"Võru maakond, Setomaa vald, Kangavitsa küla","Võru county, Setomaa rural municipality, Kangavitsa village","Выруский уезд, волость Сетомаа, деревня Кангавитса",,1,,
2706,,,,Karamsina küla,Karamsina village,Деревня Карамсина,0732,3,"Võru maakond, Setomaa vald, Karamsina küla","Võru county, Setomaa rural municipality, Karamsina village","Выруский уезд, волость Сетомаа, деревня Карамсина",,1,,
2737,,,,Karisilla küla,Karisilla village,Деревня Карисилла,0732,3,"Võru maakond, Setomaa vald, Karisilla küla","Võru county, Setomaa rural municipality, Karisilla village","Выруский уезд, волость Сетомаа, деревня Карисилла",,1,,
2788,,,,Kasakova küla,Kasakova village,Деревня Казакова,0732,3,"Võru maakond, Setomaa vald, Kasakova küla","Võru county, Setomaa rural municipality, Kasakova village","Выруский уезд, волость Сетомаа, деревня Казакова",,1,,
2822,,,,Kastamara küla,Kastamara village,Деревня Кастамара,0732,3,"Võru maakond, Setomaa vald, Kastamara küla","Võru county, Setomaa rural municipality, Kastamara village","Выруский уезд, волость Сетомаа, деревня Кастамара",,1,,
2962,,,,Keerba küla,Keerba village,Деревня Кеэрба,0732,3,"Võru maakond, Setomaa vald, Keerba küla","Võru county, Setomaa rural municipality, Keerba village","Выруский уезд, волость Сетомаа, деревня Кеэрба",,1,,
